12424_C_0	12424_C_5	12424_C_10	12424_C_15	12424_C_20	12424_C_30	12424_C_45	12424_C_60
YKR009C	0	0.606551183113055	-0.000673310884967471	-0.358349439591184	-0.0707669348528883	1.03427857912676	0.848250227971622	0.959341277441899
YML056C	0	-0.212280802521378	-0.424547799424422	-0.736080578923628	-0.840881012747771	-1.02659933023645	-0.715493037649424	-0.771092840086849
YDR070C	0	0.472098343970326	0.384232353009854	0.203874283596299	0.856481998721628	1.92636432463643	1.34405236932856	1.23164373152374
YCR005C	0	0.678212390943786	-0.225849922870246	-0.490922355233106	-0.474418566654726	0.105995107548592	0.48566158937006	1.40095075893218
YAL054C	0	0.493190768946823	0.470132211392538	0.687099854946146	0.24973770392103	0.603269561227874	0.906353710995607	1.35018306998218
YNL141W	0	0.0834013952164323	-0.387553973037143	-0.90331089951289	-1.42005754042265	-1.50997116835541	-0.848732939687569	-0.695640362058287
YGL037C	0	0.233214229396955	-0.00186615151419733	0.393584649340953	0.973550583961121	1.18522239501302	0.683535579983995	0.559544225026706
YMR250W	0	0.190421488766954	0.307646621605638	0.443372459908765	0.897813002971193	1.82850818817687	1.49141759561624	1.4492432054412
YDR536W	0	-6.06046233314275	-6.059914899467	-6.06510591303532	-6.06521281009303	0.0186354405891065	-0.25991807603068	-0.538578952687413
YNL195C	0	0.238805953071386	0.284021178405966	0.616491723275931	1.05059426101974	1.37532094339032	1.03986174234782	1.38277621394554
YPR184W	0	0.599822654741213	0.0856980932663733	0.145134641369155	1.04805017476677	1.56459705600711	1.00987417337251	0.916819409862676
YBR169C	0	0.275574431625231	-0.0520302491726896	0.118172610850264	0.629552205112865	1.10135225192025	0.681447064737459	0.692279686783109
YGR112W	0	0.883925916031462	1.17470274343722	1.21402164660161	1.21097896276075	1.23698839363504	1.10034682360571	2.13826903969235
YDL184C	0	-0.570683278912461	-0.165914116079137	-0.106162754715621	-0.298211115920046	-0.657526873626694	-0.997220105405582	-1.16924246175618
YDR155C	0	0.700419875351945	0.466938649505994	0.535429739249381	0.580287574280934	0.985998080297669	1.05374916635068	0.854641473321469
YBL106C	0	-0.138198754245836	0.159209599679226	1.91031697153967	-0.0365851263426122	-0.171032352800923	-0.458183415776108	0.839750424139676
YLR164W	0	0.812350989248647	-0.284585102938183	0.244350291774359	0.840204015903069	1.27025331481647	0.647964640914205	0.540092912591978
YOL084W	0	0.936289173908377	0.0161610749652015	0.990233423105374	1.59792353630214	1.88360251874794	1.2166149068922	1.07165931260035
YJL161W	0	-1.68046233314275	-1.679914899467	-1.68510591303532	-1.68521281009303	-1.66307669689747	-1.66978189333636	-1.67333938226197
YJL188C	0	-0.452603877996472	0.361339083289019	0.284151193624206	0.340066246751808	-0.62732219560409	-1.12597220843035	-1.18240137341308
YGR280C	0	-0.539488483751134	-0.416706541060511	-0.654389513318088	-1.07313573247891	-1.11655326127489	-0.807378005875512	-0.714746008227431
YMR196W	0	0.479879489291869	0.0500900711479482	0.0390669938519745	0.533761862556433	1.37083621503497	0.958011404399493	1.04146407313804
YKR080W	0	-0.282562905877427	-1.25850906078715	-1.01600525481337	-0.850772324388392	-0.749470805453708	-0.558013954077774	-0.617480306381222
YAR068W	0	0.432222414638206	0.377556534805614	0.404903061840137	0.670166589215711	1.04510060009204	1.09024353691713	1.12165838316045
YLR356W	0	0.594461018079105	0.255402025795665	0.261199227230956	0.633067980620843	1.06241017344122	0.960635922387524	0.743699361699534
YAL005C	0	0.260208955883179	0.352466774440344	0.490488873195768	0.729481056544799	1.28393844118136	1.3141647104866	1.30121693040281
